Size,Instance ID,Computing_time,Obj,Cmax,Delay
xl,5,0.836292028427124,13451.0,1493.0,11958.0
xl,6,1.0772390365600586,21885.0,1946.0,19939.0
xl,7,1.0103349685668943,21326.0,1881.0,19445.0
xl,8,1.2204129695892334,32853.0,2403.0,30450.0
xl,9,0.7372517585754395,11522.0,1434.0,10088.0
xl,10,0.8152170181274414,14700.0,1620.0,13080.0
xl,11,0.95251202583313,19053.0,1882.0,17171.0
xl,12,0.8190538883209229,14254.0,1548.0,12706.0
xl,13,0.9012858867645264,16429.0,1670.0,14759.0
xl,14,1.0955641269683838,23046.0,2003.0,21043.0
xl,15,1.0324180126190186,20882.0,1882.0,19000.0
xl,16,1.0560789108276367,21667.0,1975.0,19692.0
xl,17,1.1831879615783691,25637.0,2160.0,23477.0
xl,18,0.995396852493286,24401.0,2045.0,22356.0
xl,19,1.1083130836486816,27315.0,2106.0,25209.0
xl,20,1.3921051025390625,37594.0,2534.0,35060.0
xl,21,1.0337247848510742,23783.0,2093.0,21690.0
xl,22,1.078956127166748,21052.0,1815.0,19237.0
xl,23,1.0067808628082275,20526.0,1966.0,18560.0
xl,24,1.0601999759674072,19627.0,1837.0,17790.0
xl,25,0.8508858680725098,16091.0,1723.0,14368.0
xl,26,0.8828051090240479,15517.0,1631.0,13886.0
xl,27,0.9480180740356444,19466.0,1793.0,17673.0
xl,28,1.3024799823760986,32880.0,2248.0,30632.0
xl,29,1.2104120254516602,31683.0,2277.0,29406.0
xl,30,0.7648792266845703,16503.0,1634.0,14869.0
xl,31,1.0867578983306885,24647.0,1981.0,22666.0
xl,32,0.8226311206817627,14470.0,1531.0,12939.0
xl,33,1.248875856399536,32765.0,2395.0,30370.0
xl,34,1.129948377609253,26079.0,2118.0,23961.0
xl,35,1.3035118579864502,38635.0,2490.0,36145.0
xl,36,1.2969200611114502,29600.0,2208.0,27392.0
xl,37,0.9618349075317384,18378.0,1820.0,16558.0
xl,38,0.913771152496338,19176.0,1793.0,17383.0
xl,39,1.0853769779205322,25315.0,2147.0,23168.0
xl,40,1.2599177360534668,34808.0,2532.0,32276.0
xl,41,0.7480099201202393,13985.0,1480.0,12505.0
xl,42,1.0795049667358398,24987.0,1985.0,23002.0
xl,43,0.7874109745025635,14907.0,1688.0,13219.0
xl,44,0.8384628295898438,13929.0,1484.0,12445.0
xl,45,1.1750409603118896,29011.0,2224.0,26787.0
xl,46,1.2856769561767578,23344.0,1941.0,21403.0
xl,47,0.9473049640655518,16165.0,1629.0,14536.0
xl,48,1.26879620552063,34371.0,2446.0,31925.0
xl,49,1.2557218074798584,30191.0,2186.0,28005.0
xl,50,0.910717248916626,17277.0,1740.0,15537.0
