job_id, operation_id, big, due_date, pos_time, status, blocked, op_type, processing_time, exe_mode, exe_start, delay
     0,            0,   0,      114,        5,      1,       0,       1,              12,        1,        17,     0
     0,            1,   0,      114,        5,      1,       0,       1,              40,        1,        42,     0
     1,            0,   1,      235,        5,      2,       0,       2,              54,        2,        41,     0
     2,            0,   1,      199,        5,      0,       0,       2,              19,        2,        16,     0
     3,            0,   1,      117,        5,      3,       1,       1,              54,        1,       101,   109
     3,            1,   1,      117,        5,      3,       1,       1,              60,        0,       161,   109
     4,            0,   0,      193,        5,      0,       2,       2,              44,        2,       101,     0
